algo,feature_set,curve,x,y
decision_tree,reduced,roc,0.765676956819093,0.8818474758324383
decision_tree,reduced,roc,0.7693087753225007,0.882921589688507
decision_tree,reduced,roc,0.7754168337145957,0.8869495166487648
decision_tree,reduced,roc,0.781406975921515,0.8904403866809882
decision_tree,reduced,roc,0.7873027851802938,0.8936627282491945
decision_tree,reduced,roc,0.7914770181355093,0.8960794844253491
decision_tree,reduced,roc,0.795509751668514,0.8979591836734694
decision_tree,reduced,roc,0.8012640615050822,0.90171858216971
decision_tree,reduced,roc,0.8074192863712473,0.9060150375939849
decision_tree,reduced,roc,0.8125368488078674,0.9087003222341569
decision_tree,reduced,roc,0.8179374100889089,0.9121911922663802
decision_tree,reduced,roc,0.8237624696365823,0.9151450053705693
decision_tree,reduced,roc,0.8277952031695871,0.9191729323308271
decision_tree,reduced,roc,0.8340919274579629,0.9237379162191193
decision_tree,reduced,roc,0.8386434922057402,0.9250805585392051
decision_tree,reduced,roc,0.8461901280569771,0.9264232008592911
decision_tree,reduced,roc,0.8504115274862628,0.9293770139634802
decision_tree,reduced,roc,0.857203499752376,0.9315252416756176
decision_tree,reduced,roc,0.861707898026083,0.9358216970998926
decision_tree,reduced,roc,0.8652689668183855,0.9379699248120301
decision_tree,reduced,roc,0.873546683017711,0.9414607948442535
decision_tree,reduced,roc,0.8788529113506119,0.9454887218045113
decision_tree,reduced,roc,0.8843006391057237,0.9489795918367347
decision_tree,reduced,roc,0.8889465368016414,0.9511278195488722
decision_tree,reduced,roc,0.8955970096455439,0.9535445757250268
decision_tree,reduced,roc,0.9004079900007075,0.9570354457572503
decision_tree,reduced,roc,0.9080961252741552,0.9616004296455424
decision_tree,reduced,roc,0.9114921114072118,0.9637486573576799
decision_tree,reduced,roc,0.9187793316510624,0.9688506981740065
decision_tree,reduced,roc,0.9237082281914015,0.9715359828141783
decision_tree,reduced,roc,0.9276702120133009,0.9723415682062299
decision_tree,reduced,roc,0.9338726033535363,0.9744897959183674
decision_tree,reduced,roc,0.942598401056529,0.9763694951664876
decision_tree,reduced,roc,0.947715963493149,0.9785177228786252
decision_tree,reduced,roc,0.9529514421149446,0.9814715359828142
decision_tree,reduced,roc,0.9579510883663892,0.9860365198711063
decision_tree,reduced,roc,0.9618187392401482,0.9871106337271751
decision_tree,reduced,roc,0.9668655519656628,0.9889903329752954
decision_tree,reduced,roc,0.9707096196023867,0.9903329752953813
decision_tree,reduced,roc,0.975685682616796,0.9930182599355531
decision_tree,reduced,roc,1.0,1.0
decision_tree,full,pr,1.0,0.08073362672621241
